"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001548882","Eos Partners","Brian Young & Steven Friedman","Eos Management, L.P.","","http://www.eospartners.com/"
"0001452689","Valiant Capital","Chris Hansen","Valiant Capital Management, L.P.","","https://www.valiantcapital.com/"
"0001389875","Newbrook Capital Advisors","Robert Boucai","Newbrook Capital Advisors LP","","https://newbrookcapital.com/"
"0001387818","Barton Investment Management","Jay Barton Riley","Barton Investment Management","","https://bartonim.com/"
"0001847566","Absoluto Partners","José Zitelmann","Absoluto Partners Gestao de Recursos Ltda","","https://www.absolutopartners.com/"
"0002040353","Kera Capital","George Choe","Kera Capital Partners, Inc.","","https://www.keracapital.com/"
"0001963355","Caitong Asset Management","Qicheng Zhang","Caitong International Asset Management Co., Ltd","","https://www.ctzg.com/"
"0002078353","October Effect","Frank Tehel","October Effect Ltd","","https://www.financialplanning-vab.com/"
"0001088875","Baillie Gifford","Tim Campbell","Baillie Gifford & Co","","https://www.bailliegifford.com/"
"0002055557","Mountain Hill Investment Partners","Andy Kaiser","Mountain Hill Investment Partners Corp.","","https://mhipartners.com/"
"0001738723","West Branch","Ayaz Mahmud","West Branch Capital LLC","","https://www.westbranchcapital.com/"
"0001037353","Pathway Capital Management","Douglas Le Bon","Pathway Capital Management, LP","","https://pathwaycapital.com/"
"0001323414","Pacific Heights","Michael Cuggino","Pacific Heights Asset Management LLC","","https://www.permanentportfoliofunds.com/"
"0001352895","Emerald Mutual Fund Advisers","Kenneth Mertz II","Emerald Mutual Fund Advisers Trust","","https://www.emeraldmutualfunds.com/"
"0001858789","Yousif Capital Management","Kevin Yousif","Yousif Capital Management, LLC","","https://www.yousifcapital.com/"
"0001997464","Marex Group","Ian Lowitt","Marex Group plc","","https://www.marex.com/"
"0001633603","All-Stars Investment","Richard Ji","All-Stars Investment Ltd","","https://www.allstarsinvestment.com/"
"0001666504","Fiduciary Wealth Partners","Preston McSwain","Fiduciary Wealth Partners, LLC","","https://fwpwealth.com/"
"0002020280","Fiduciary Family Office","Kathleen Grace","Fiduciary Family Office, LLC","","https://www.fiduciaryfo.com/"
"0002019841","Stone Ridge Asset Management","Ross Stevens","Stone Ridge Holdings Group LP","","https://www.stoneridgeam.com/"
"0001475365","Sumitomo Mitsui Trust Group","Toru Takakura","Sumitomo Mitsui Trust Group, Inc.","","https://www.smtg.jp/english/"
"0001832521","Castellan Group","Barry Brauch","Castellan Group","","https://castellangroup.com/"
"0001005354","Virginia Retirement Systems","Trish Bishop","Virginia Retirement Systems Et Al","","https://www.varetire.org/"
"0002090468","Meadowbrook Wealth Management","Thomas Efthimiou","Meadowbrook Wealth Management, LLC","","http://www.meadowbrookwealth.com/"
"0001815344","Hestia Capital Management","Kurt Wolf","Hestia Capital Management, LLC","","https://www.hestiacapital.com/"
"0002080247","Pinpoint Asset Management","Wang Qiang","Pinpoint Asset Management (Singapore) Pte. Ltd.","","https://www.pinpointfund.com/"
"0002067954","QTR","Desaree Tatum","QTR Family Wealth, LLC","","https://www.qtrfamily.com/"
"0001742647","Moerus Capital Management","Amit Wadhwaney","Moerus Capital Management LLC","","https://www.moeruscap.com/"
"0000727117","Builder Investment Group","Allen Builder","Builder Investment Group Inc /ADV","","https://big-inc.com/"
"0001714267","Thames Capital Management","Jay Genzer","Thames Capital Management LLC","","https://thamescapitalmanagement.com/"
"0001962838","Schear Investment Advisers","Neal Schear","Schear Investment Advisers, LLC","","https://www.schearandschear.com/"
"0002025905","Generate Investment Management","Henry Tongue","Generate Investment Management Ltd","","https://www.generationim.com/"
"0001722053","CenterStar Asset Management","Michelin Sloneker","CenterStar Asset Management, LLC","","https://centerstaram.com/"
"0002042502","Kiker Wealth Management","Paul Kiker","Kiker Wealth Management, LLC","","https://kikerwealth.com/"
"0001919749","Carter Financial Group","Kevin Carter","Carter Financial Group, INC.","","https://www.carterfinancialgroup.com/"
